scenario-metric,mean,low_ci,high_ci,n_replications
fulfillment_rate__base,0.8271552572719874,0.8242629279065321,0.8300475866374426,30.0
fulfillment_rate__capacity,0.893712960309219,0.8912216421146166,0.8962042785038213,30.0
fulfillment_rate__priority,0.8472484089165139,0.8440405311540321,0.8504562866789956,30.0
fulfillment_rate__combined,0.9090068797427225,0.906773974511425,0.91123978497402,30.0
exception_rate__base,0.1728447427280128,0.1699524133625575,0.17573707209346812,30.0
exception_rate__capacity,0.10628703969078111,0.10379572149617877,0.10877835788538345,30.0
exception_rate__priority,0.15275159108348615,0.14954371332100436,0.15595946884596795,30.0
exception_rate__combined,0.09099312025727745,0.08876021502597993,0.09322602548857496,30.0
avg_waiting_time__base,0.13188644893911025,0.1300971869362784,0.1336757109419421,30.0
avg_waiting_time__capacity,0.08822976131889368,0.08653807972244927,0.08992144291533809,30.0
avg_waiting_time__priority,0.10419881663133618,0.10297073157576862,0.10542690168690373,30.0
avg_waiting_time__combined,0.07610234070557018,0.07508221748007671,0.07712246393106365,30.0
avg_picker_utilization__base,0.9274098474341195,0.9253067343955563,0.9295129604726826,30.0
avg_picker_utilization__capacity,0.8764781424975598,0.8734578091686409,0.8794984758264788,30.0
avg_picker_utilization__priority,0.9228791030975497,0.9205377817469641,0.9252204244481353,30.0
avg_picker_utilization__combined,0.8766065649560795,0.8741446595478863,0.8790684703642726,30.0
peak_queue_length__base,5.0,5.0,5.0,30.0
peak_queue_length__capacity,5.0,5.0,5.0,30.0
peak_queue_length__priority,5.0,5.0,5.0,30.0
peak_queue_length__combined,5.0,5.0,5.0,30.0
pct_time_queue_full__base,0.06837725381414701,0.06452042184443608,0.07223408578385794,30.0
pct_time_queue_full__capacity,0.04239482200647249,0.039682564746002714,0.04510707926694226,30.0
pct_time_queue_full__priority,0.07142857142857142,0.06723048221062321,0.07562666064651964,30.0
pct_time_queue_full__combined,0.036708275543227,0.0346693755144589,0.03874717557199509,30.0
pct_time_under_pressure__base,0.6017568192325473,0.5941711556758984,0.6093424827891962,30.0
pct_time_under_pressure__capacity,0.44308830328247806,0.43360504121603805,0.45257156534891807,30.0
pct_time_under_pressure__priority,0.5835876098012018,0.5747411920292859,0.5924340275731178,30.0
pct_time_under_pressure__combined,0.43319463707813227,0.4252613966702214,0.44112787748604315,30.0
avg_fulfillment_time__base,0.8901129953423379,0.8872965745063247,0.8929294161783511,30.0
avg_fulfillment_time__capacity,0.8390242310003866,0.836231286833746,0.8418171751670271,30.0
avg_fulfillment_time__priority,0.8421384242265331,0.8402879081785963,0.8439889402744698,30.0
avg_fulfillment_time__combined,0.815464196546077,0.8138938545943172,0.8170345384978369,30.0
exception_rate_low__base,0.09142800876283536,0.08915880776907674,0.09369720975659397,30.0
exception_rate_low__capacity,0.05985546666796038,0.05797985690926495,0.061731076426655804,30.0
exception_rate_low__priority,0.19145437663371637,0.18710506271936,0.19580369054807273,30.0
exception_rate_low__combined,0.10909953391857312,0.10558867890732576,0.11261038892982048,30.0
exception_rate_medium__base,0.18058607511812083,0.17669767604156214,0.18447447419467952,30.0
exception_rate_medium__capacity,0.1042712017023796,0.10129064329557813,0.10725176010918108,30.0
exception_rate_medium__priority,0.12051293636002383,0.11741310722098565,0.12361276549906201,30.0
exception_rate_medium__combined,0.07469611254702954,0.07262535694684807,0.07676686814721101,30.0
exception_rate_high__base,0.40290450453751786,0.39521650008466874,0.410592508990367,30.0
exception_rate_high__capacity,0.2554770685892494,0.24826399739193408,0.2626901397865647,30.0
exception_rate_high__priority,0.1406653386916163,0.13622725958444118,0.1451034177987914,30.0
exception_rate_high__combined,0.08962052589476407,0.0865109433818975,0.09273010840763064,30.0
