comparison,metric,scenario_a,scenario_b,mean_a,mean_b,gap_b_minus_a,practically_meaningful
Priority vs. Base,fulfillment_rate,base,priority,0.8800474536610902,0.9042676859587914,0.024220232297701205,False
Priority vs. Base,exception_rate,base,priority,0.11995254633890999,0.0957323140412085,-0.024220232297701497,False
Priority vs. Base,avg_waiting_time,base,priority,0.15871646382898044,0.10407146387802378,-0.05464499995095666,False
Priority vs. Base,avg_picker_utilization,base,priority,0.9858472029588533,0.9812528895053167,-0.004594313453536558,False
Priority vs. Base,peak_queue_length,base,priority,5.0,5.0,0.0,False
Priority vs. Base,pct_time_queue_full,base,priority,0.03971336107258437,0.02274618585298197,-0.016967175219602403,False
Priority vs. Base,pct_time_under_pressure,base,priority,0.8119278779472954,0.7426259824318076,-0.06930189551548782,True
Priority vs. Base,avg_fulfillment_time,base,priority,0.9189583313211113,0.8412088759748306,-0.07774945534628064,False
Priority vs. Base,exception_rate_low,base,priority,0.03324633785002394,0.14268628411391868,0.10943994626389474,True
Priority vs. Base,exception_rate_medium,base,priority,0.1179674391370249,0.056344250105906483,-0.061623189031118415,True
Priority vs. Base,exception_rate_high,base,priority,0.39528058553096485,0.08213281160174443,-0.31314777392922044,True
Combined vs. Base,fulfillment_rate,base,combined,0.8800474536610902,0.9630579189413964,0.0830104652803062,True
Combined vs. Base,exception_rate,base,combined,0.11995254633890999,0.036942081058603415,-0.08301046528030658,True
Combined vs. Base,avg_waiting_time,base,combined,0.15871646382898044,0.054819589594843746,-0.1038968742341367,True
Combined vs. Base,avg_picker_utilization,base,combined,0.9858472029588533,0.9333179226383109,-0.05252928032054238,True
Combined vs. Base,peak_queue_length,base,combined,5.0,5.0,0.0,False
Combined vs. Base,pct_time_queue_full,base,combined,0.03971336107258437,0.004207119741100324,-0.03550624133148405,False
Combined vs. Base,pct_time_under_pressure,base,combined,0.8119278779472954,0.4250115580212668,-0.3869163199260286,True
Combined vs. Base,avg_fulfillment_time,base,combined,0.9189583313211113,0.7962084767708927,-0.12274985455021858,True
Combined vs. Base,exception_rate_low,base,combined,0.03324633785002394,0.04475633870696614,0.011510000856942197,False
Combined vs. Base,exception_rate_medium,base,combined,0.1179674391370249,0.028276111278870312,-0.08969132785815459,True
Combined vs. Base,exception_rate_high,base,combined,0.39528058553096485,0.04185031856155563,-0.3534302669694092,True
Combined vs. Capacity-alone,fulfillment_rate,capacity,combined,0.9596281403403923,0.9630579189413964,0.0034297786010040188,False
Combined vs. Capacity-alone,exception_rate,capacity,combined,0.04037185965960767,0.036942081058603415,-0.0034297786010042547,False
Combined vs. Capacity-alone,avg_waiting_time,capacity,combined,0.06608996810283906,0.054819589594843746,-0.01127037850799531,False
Combined vs. Capacity-alone,avg_picker_utilization,capacity,combined,0.9361278060307185,0.9333179226383109,-0.0028098833924076194,False
Combined vs. Capacity-alone,peak_queue_length,capacity,combined,4.933333333333334,5.0,0.06666666666666643,False
Combined vs. Capacity-alone,pct_time_queue_full,capacity,combined,0.00517799352750809,0.004207119741100324,-0.0009708737864077659,False
Combined vs. Capacity-alone,pct_time_under_pressure,capacity,combined,0.4495607951918632,0.4250115580212668,-0.024549237170596427,False
Combined vs. Capacity-alone,avg_fulfillment_time,capacity,combined,0.8108327262285295,0.7962084767708927,-0.014624249457636851,False
Combined vs. Capacity-alone,exception_rate_low,capacity,combined,0.01947706441293569,0.04475633870696614,0.025279274294030447,False
Combined vs. Capacity-alone,exception_rate_medium,capacity,combined,0.035097696257669904,0.028276111278870312,-0.006821584978799592,False
Combined vs. Capacity-alone,exception_rate_high,capacity,combined,0.12181547129277424,0.04185031856155563,-0.07996515273121861,True
Combined vs. Priority-alone,fulfillment_rate,priority,combined,0.9042676859587914,0.9630579189413964,0.058790232982604995,True
Combined vs. Priority-alone,exception_rate,priority,combined,0.0957323140412085,0.036942081058603415,-0.05879023298260508,True
Combined vs. Priority-alone,avg_waiting_time,priority,combined,0.10407146387802378,0.054819589594843746,-0.049251874283180036,False
Combined vs. Priority-alone,avg_picker_utilization,priority,combined,0.9812528895053167,0.9333179226383109,-0.047934966867005824,False
Combined vs. Priority-alone,peak_queue_length,priority,combined,5.0,5.0,0.0,False
Combined vs. Priority-alone,pct_time_queue_full,priority,combined,0.02274618585298197,0.004207119741100324,-0.018539066111881643,False
Combined vs. Priority-alone,pct_time_under_pressure,priority,combined,0.7426259824318076,0.4250115580212668,-0.3176144244105408,True
Combined vs. Priority-alone,avg_fulfillment_time,priority,combined,0.8412088759748306,0.7962084767708927,-0.045000399203937946,False
Combined vs. Priority-alone,exception_rate_low,priority,combined,0.14268628411391868,0.04475633870696614,-0.09792994540695255,True
Combined vs. Priority-alone,exception_rate_medium,priority,combined,0.056344250105906483,0.028276111278870312,-0.02806813882703617,False
Combined vs. Priority-alone,exception_rate_high,priority,combined,0.08213281160174443,0.04185031856155563,-0.0402824930401888,False
