metric,mean,ci_lower,ci_upper,n_replications
fulfillment_rate,0.8800474536610902,0.8782793681157997,0.8818155392063807,30
exception_rate,0.11995254633890999,0.11818446079361952,0.12172063188420046,30
avg_waiting_time,0.15871646382898044,0.15740832927295567,0.1600245983850052,30
avg_picker_utilization,0.9858472029588533,0.9849443147797271,0.9867500911379795,30
peak_queue_length,5.0,5.0,5.0,30
pct_time_queue_full,0.03971336107258437,0.0368849217065586,0.042541800438610146,30
pct_time_under_pressure,0.8119278779472954,0.8061646342549339,0.8176911216396568,30
avg_fulfillment_time,0.9189583313211113,0.9164285574360324,0.9214881052061902,30
exception_rate_low,0.03324633785002394,0.032105093245913104,0.03438758245413478,30
exception_rate_medium,0.1179674391370249,0.11561673198737306,0.12031814628667674,30
exception_rate_high,0.39528058553096485,0.38981509005834764,0.40074608100358206,30
