scenario-metric,mean,low_ci,high_ci,n_replications
fulfillment_rate__base,0.8800474536610902,0.8782793681157997,0.8818155392063807,30.0
fulfillment_rate__capacity,0.9596281403403923,0.9585660411480286,0.9606902395327561,30.0
fulfillment_rate__priority,0.9042676859587914,0.9029127946232437,0.905622577294339,30.0
fulfillment_rate__combined,0.9630579189413964,0.9620465536451652,0.9640692842376275,30.0
exception_rate__base,0.11995254633890999,0.11818446079361952,0.12172063188420046,30.0
exception_rate__capacity,0.04037185965960767,0.03930976046724389,0.04143395885197145,30.0
exception_rate__priority,0.0957323140412085,0.09437742270566077,0.09708720537675622,30.0
exception_rate__combined,0.036942081058603415,0.035930715762372306,0.037953446354834525,30.0
avg_waiting_time__base,0.15871646382898044,0.15740832927295567,0.1600245983850052,30.0
avg_waiting_time__capacity,0.06608996810283906,0.06431731466259927,0.06786262154307884,30.0
avg_waiting_time__priority,0.10407146387802378,0.10325649104957095,0.10488643670647661,30.0
avg_waiting_time__combined,0.054819589594843746,0.0536972288206857,0.05594195036900179,30.0
avg_picker_utilization__base,0.9858472029588533,0.9849443147797271,0.9867500911379795,30.0
avg_picker_utilization__capacity,0.9361278060307185,0.9341718929493612,0.9380837191120759,30.0
avg_picker_utilization__priority,0.9812528895053167,0.9805712116179621,0.9819345673926714,30.0
avg_picker_utilization__combined,0.9333179226383109,0.9317879460466012,0.9348478992300207,30.0
peak_queue_length__base,5.0,5.0,5.0,30.0
peak_queue_length__capacity,4.933333333333334,4.838597160010202,5.028069506656466,30.0
peak_queue_length__priority,5.0,5.0,5.0,30.0
peak_queue_length__combined,5.0,5.0,5.0,30.0
pct_time_queue_full__base,0.03971336107258437,0.0368849217065586,0.042541800438610146,30.0
pct_time_queue_full__capacity,0.00517799352750809,0.004266304970109307,0.006089682084906872,30.0
pct_time_queue_full__priority,0.02274618585298197,0.020749146773569753,0.024743224932394184,30.0
pct_time_queue_full__combined,0.004207119741100324,0.003331130023612971,0.005083109458587677,30.0
pct_time_under_pressure__base,0.8119278779472954,0.8061646342549339,0.8176911216396568,30.0
pct_time_under_pressure__capacity,0.4495607951918632,0.4392074924655361,0.4599140979181903,30.0
pct_time_under_pressure__priority,0.7426259824318076,0.7358233288914565,0.7494286359721586,30.0
pct_time_under_pressure__combined,0.4250115580212668,0.4164780534386472,0.43354506260388637,30.0
avg_fulfillment_time__base,0.9189583313211113,0.9164285574360324,0.9214881052061902,30.0
avg_fulfillment_time__capacity,0.8108327262285295,0.8075076530627807,0.8141577993942783,30.0
avg_fulfillment_time__priority,0.8412088759748306,0.8392989608833599,0.8431187910663014,30.0
avg_fulfillment_time__combined,0.7962084767708927,0.7939201699295656,0.7984967836122198,30.0
exception_rate_low__base,0.03324633785002394,0.032105093245913104,0.03438758245413478,30.0
exception_rate_low__capacity,0.01947706441293569,0.018520573141899803,0.02043355568397158,30.0
exception_rate_low__priority,0.14268628411391868,0.14006779039603143,0.14530477783180593,30.0
exception_rate_low__combined,0.04475633870696614,0.042956436443072586,0.04655624097085969,30.0
exception_rate_medium__base,0.1179674391370249,0.11561673198737306,0.12031814628667674,30.0
exception_rate_medium__capacity,0.035097696257669904,0.03351232279670728,0.03668306971863253,30.0
exception_rate_medium__priority,0.056344250105906483,0.054567141969913,0.05812135824189997,30.0
exception_rate_medium__combined,0.028276111278870312,0.027425148183974322,0.029127074373766302,30.0
exception_rate_high__base,0.39528058553096485,0.38981509005834764,0.40074608100358206,30.0
exception_rate_high__capacity,0.12181547129277424,0.11733548120197855,0.12629546138356995,30.0
exception_rate_high__priority,0.08213281160174443,0.07957258049849843,0.08469304270499044,30.0
exception_rate_high__combined,0.04185031856155563,0.03960978736010418,0.04409084976300708,30.0
